title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers
Creed: Rise to Glory,804490,2018-09-25,29.99,84,Very Positive,80,Survios,Survios
My Time At Portia,666140,2019-01-15,29.99,73,Very Positive,92,Pathea Games,Focus Entertainment
Mr. DRILLER DrillLand,1126750,2020-06-25,29.99,76,Very Positive,82,"INFINITY Co., Ltd.",BANDAI NAMCO Entertainment
The Elder Scrolls V: Skyrim VR,611670,2018-04-02,59.99,81,Mostly Positive,74,Bethesda Game Studios,Bethesda Softworks
Dying Light,239140,2015-01-27,49.99,75,Overwhelmingly Positive,95,Techland,Techland
Stronghold: Warlords,907650,2021-03-09,39.99,65,Mixed,65,FireFly Studios,FireFly Studios
Vampyr,427290,2018-06-04,39.99,72,Mostly Positive,76,DONTNOD Entertainment,Focus Entertainment
Captain Tsubasa: Rise of New Champions,1163550,2020-08-27,39.99,75,Mixed,69,TAMSOFT CORPORATION,BANDAI NAMCO Entertainment
Remothered: Broken Porcelain,1142390,2020-10-13,29.99,39,Mixed,60,Stormind Games,Modus Games
POSTAL: Brain Damaged,1359980,2022-06-09,31.98,71,Overwhelmingly Positive,96,Hyperstrange,Hyperstrange
Left-Hand Path,488760,2017-11-10,29.99,72,Very Positive,84,Strange Company,Strange Company
War Mongrels,1101790,2021-10-19,50.98,68,Mostly Positive,70,Destructive Creations,DMM Games - Asia
Days Gone,1259420,2021-05-18,49.99,76,Very Positive,92,Bend Studio,PlayStation PC LLC
Fallout 4 VR,611660,2017-12-11,59.99,78,Mixed,63,Bethesda Game Studios,Bethesda Softworks
Anima Gate of Memories,380750,2016-06-02,44.97,69,Mixed,68,Anima Project,Anima Publishing
Sniper Ghost Warrior Contracts 2,1338770,2021-06-04,39.99,73,Very Positive,84,Underdog Studio,CI Games
The Walking Dead Onslaught,1082680,2020-09-29,29.99,56,Mixed,43,Survios,Survios
Syberia: The World Before,1410640,2022-03-18,39.99,81,Very Positive,90,Microids Studio Paris,Microids
The Assembly,373650,2016-07-19,29.99,55,Mostly Positive,70,nDreams,nDreams
