title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers
Anomaly Defenders,294750,2014-05-29,9.99,70,Mostly Positive,75,11 bit studios,11 bit studios
Monster Energy Supercross - The Official Videogame 3,1089830,2020-02-04,24.99,72,Very Positive,88,Milestone S.r.l.,Milestone S.r.l.
Legends of Eisenwald,246760,2014-07-21,19.99,71,Mostly Positive,76,Aterdux Entertainment,Aterdux Entertainment
SPACECOM,263860,2014-09-17,9.99,68,Mixed,65,Flow Combine,11 bit studios
Trials Evolution: Gold Edition,220160,2013-03-21,19.99,85,Mostly Positive,75,Redlynx Ltd,Ubisoft
ALICE VR,513320,2016-10-27,9.99,55,Mixed,40,Carbon Studio,Klabater
GRIS,683320,2018-12-13,14.99,84,Overwhelmingly Positive,96,Nomada Studio,Devolver Digital
This War of Mine,282070,2014-11-14,19.99,83,Very Positive,94,11 bit studios,11 bit studios
Warhammer Quest,326670,2015-01-07,14.99,55,Mostly Positive,70,Rodeo Games,Chilled Mouse
My Memory of Us,651500,2018-10-09,17.99,69,Very Positive,92,Juggler Games,IMGN.PRO
We Are The Dwarves,395570,2016-02-25,14.99,60,Mostly Positive,73,Whale Rock Games,Whale Rock Games
A Case of Distrust,717610,2018-02-08,14.99,77,Very Positive,86,The Wandering Ben,The Wandering Ben
Ring Runner: Flight of the Sages,258010,2013-07-09,4.99,75,Very Positive,84,Triple.B.Titles,Triple.B.Titles
Middle-earth: Shadow of Mordor,241930,2014-09-30,19.99,84,Very Positive,91,Monolith Productions,Warner Bros. Games
Detective Di: The Silk Rose Murders,792040,2019-05-01,10.99,80,Very Positive,88,Nupixo Games,WhisperGames
Transference,647570,2018-09-18,24.99,78,Mostly Positive,72,Ubisoft,Ubisoft
Krater,42170,2012-06-12,14.99,52,Mixed,55,Fatshark,Fatshark
Car Mechanic Simulator 2015,320300,2015-04-23,19.99,68,Very Positive,92,Red Dot Games,PlayWay S.A.
Moonlighter,606150,2018-05-29,19.99,74,Very Positive,82,Digital Sun,11 bit studios
Rez Infinite,636450,2017-08-09,24.99,89,Very Positive,91,Monstars Inc.,Enhance
Tiny and Big: Grandpas Leftovers,205910,2012-06-19,11.99,75,Very Positive,92,Black Pants Studio,Black Pants Studio
Hostile Waters: Antaeus Rising,267980,2001-06-13,2.99,80,Very Positive,95,Rage Software,Funbox Media Ltd
Anno 2070,48240,2011-11-17,19.99,83,Mixed,59,Blue Byte,Ubisoft
The Messenger,764790,2018-08-30,19.99,83,Very Positive,93,Sabotage,Devolver Digital
Goetia,421740,2016-04-14,14.99,79,Mostly Positive,77,Sushee,Forever Entertainment S. A.
Curious Expedition,358130,2016-09-02,14.99,74,Very Positive,91,Maschinen-Mensch,Maschinen-Mensch
Kholat,343710,2015-06-09,19.99,64,Mixed,67,IMGN.PRO,IMGN.PRO
The Book of Unwritten Tales,215160,2011-10-28,19.99,82,Very Positive,90,KING Art,THQ Nordic
Max Payne 3,204100,2012-05-31,19.99,87,Very Positive,85,Rockstar Studios,Rockstar Games
Stars in Shadow,464880,2017-01-19,24.99,75,Mostly Positive,78,Ashdar Games,Iceberg Interactive
Pacific Storm Allies,11260,2008-01-28,7.99,60,Mixed,57,Lesta Studio,ESDigital Games
Max Payne 2: The Fall of Max Payne,12150,2003-10-14,14.99,86,Very Positive,94,Remedy Entertainment,Rockstar Games
Husk,553960,2017-02-03,19.99,44,Mixed,61,UndeadScout,IMGN.PRO
Audioshield,412740,2016-04-05,19.99,81,Very Positive,80,Dylan Fitterer,Dylan Fitterer
Shady Part of Me,1116580,2020-12-10,14.99,78,Very Positive,94,Douze Dixièmes,Focus Entertainment
Darkwood,274520,2017-08-17,14.99,80,Very Positive,94,Acid Wizard Studio,Acid Wizard Studio
Max Payne,12140,2001-07-23,9.99,89,Very Positive,89,Remedy Entertainment,Rockstar Games
Car Mechanic Simulator 2014,270850,2014-01-24,6.99,61,Very Positive,82,PlayWay S.A.,PlayWay S.A.
FAR: Lone Sails,609320,2018-05-17,14.99,80,Very Positive,94,Okomotive,Assemble Entertainment
Trials Fusion,245490,2014-04-16,19.99,80,Mixed,67,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft
Inner Chains,537430,2017-05-18,19.99,40,Mixed,47,Telepaths Tree,IMGN.PRO
Tom Clancy's Rainbow Six Vegas 2,15120,2008-04-15,9.99,78,Very Positive,84,Ubisoft Montreal,Ubisoft
Valiant Hearts - The Great War,260230,2014-06-25,14.99,79,Overwhelmingly Positive,95,Ubisoft Montpellier,Ubisoft
Nikopol: Secrets of the Immortals,11370,2008-09-20,4.99,68,Mixed,60,White Birds,Meridian4
