title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers,total_reviews,positive_reviews,negative_reviews
Creed: Rise to Glory,804490,2018-09-25,29.99,84,Very Positive,80,Survios,Survios,947,734,213
My Time At Portia,666140,2019-01-15,29.99,73,Very Positive,92,Pathea Games,Focus Entertainment,11234,10409,825
Mr. DRILLER DrillLand,1126750,2020-06-25,29.99,76,Very Positive,82,"INFINITY Co., Ltd.",BANDAI NAMCO Entertainment,76,66,10
The Elder Scrolls V: Skyrim VR,611670,2018-04-02,59.99,81,Mostly Positive,74,Bethesda Game Studios,Bethesda Softworks,6124,4568,1556
Dying Light,239140,2015-01-27,49.99,75,Overwhelmingly Positive,95,Techland,Techland,75539,71174,4365
Stronghold: Warlords,907650,2021-03-09,39.99,65,Mixed,65,FireFly Studios,FireFly Studios,1544,995,549
Vampyr,427290,2018-06-04,39.99,72,Mostly Positive,76,DONTNOD Entertainment,Focus Entertainment,7189,5468,1721
Captain Tsubasa: Rise of New Champions,1163550,2020-08-27,39.99,75,Mixed,69,TAMSOFT CORPORATION,BANDAI NAMCO Entertainment,889,620,269
Remothered: Broken Porcelain,1142390,2020-10-13,29.99,39,Mixed,60,Stormind Games,Modus Games,201,127,74
POSTAL: Brain Damaged,1359980,2022-06-09,31.98,71,Overwhelmingly Positive,96,Hyperstrange,Hyperstrange,3343,3214,129
Left-Hand Path,488760,2017-11-10,29.99,72,Very Positive,84,Strange Company,Strange Company,106,90,16
War Mongrels,1101790,2021-10-19,50.98,68,Mostly Positive,70,Destructive Creations,DMM Games - Asia,375,291,84
Days Gone,1259420,2021-05-18,49.99,76,Very Positive,92,Bend Studio,PlayStation PC LLC,23022,21282,1740
Fallout 4 VR,611660,2017-12-11,59.99,78,Mixed,63,Bethesda Game Studios,Bethesda Softworks,3793,2358,1435
Anima Gate of Memories,380750,2016-06-02,44.97,69,Mixed,68,Anima Project,Anima Publishing,221,149,72
Sniper Ghost Warrior Contracts 2,1338770,2021-06-04,39.99,73,Very Positive,84,Underdog Studio,CI Games,2854,2417,437
The Walking Dead Onslaught,1082680,2020-09-29,29.99,56,Mixed,43,Survios,Survios,612,261,351
Syberia: The World Before,1410640,2022-03-18,39.99,81,Very Positive,90,Microids Studio Paris,Microids,867,760,107
The Assembly,373650,2016-07-19,29.99,55,Mostly Positive,70,nDreams,nDreams,94,64,30
RIOT - Civil Unrest,342310,2019-02-12,61.97,54,Mixed,69,Leonard Menchiari,Merge Games,666,418,248
Seeking Dawn,859340,2018-07-12,29.99,68,Mixed,66,Multiverse,Multiverse,303,182,121
